loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
1.0461,26.25,9.977206495402554e-05,0.08006405124099279,50,,,,,,,,,,
0.9006,12.5625,9.67797005288181e-05,0.16012810248198558,100,,,,,,,,,,
0.7625,17.375,9.051314306058933e-05,0.2401921537229784,150,,,,,,,,,,
0.6754,5.96875,8.141099986478212e-05,0.32025620496397117,200,,,,,,,,,,
0.666,3.671875,7.011034586046176e-05,0.400320256204964,250,,,,,,,,,,
,,,0.400320256204964,250,0.6682581901550293,0.6548096192384769,705.7076,2.828,0.707,,,,,
0.654,4.15625,5.7402133582686576e-05,0.4803843074459568,300,,,,,,,,,,
0.6374,6.34375,4.4175833031451473e-05,0.5604483586869495,350,,,,,,,,,,
0.6565,3.984375,3.135717611098458e-05,0.6405124099279423,400,,,,,,,,,,
0.6303,10.6875,1.98433630349558e-05,0.7205764611689351,450,,,,,,,,,,
0.666,4.625,1.0440265714600572e-05,0.800640512409928,500,,,,,,,,,,
,,,0.800640512409928,500,0.65268474817276,0.6523046092184369,706.027,2.827,0.707,,,,,
0.6114,11.3125,3.8060233744356633e-06,0.8807045636509208,550,,,,,,,,,,
0.6637,6.59375,4.049782370561583e-07,0.9607686148919136,600,,,,,,,,,,
,,,0.9991993594875901,624,,,,,,11323.189,0.882,0.055,0.0,0.7119148174921671
